rubric_variable,domain,feature_id,status,exclusion_category,rationale,changes_methods_text,reconsider_before_freeze
Causal molecular basis established,Biological,causal_molecular_basis,IMPLEMENTED,,Exact 1:1 match.,No,No
Actionable therapeutic target identified,Biological,actionable_target,IMPLEMENTED,,Exact 1:1 match.,No,No
Human-relevant disease model available,Biological,human_disease_model,IMPLEMENTED,,Exact 1:1 match.,No,No
In vivo disease model available,Biological,in_vivo_model,IMPLEMENTED,,Exact 1:1 match.,No,No
Phenotypic rescue demonstrated preclinically,Biological,preclinical_rescue,IMPLEMENTED,,Exact 1:1 match.,No,No
Dominant mechanistic convergence,Biological,,EXCLUDED,3,"Requires weighing proportion of variants converging on one pathway across the literature base; the paired-regex Type B classifier confirms single co-occurring phrases, not comparative/proportional judgments.",Yes,Maybe (human-coded field)
Independent replication of mechanism,Biological,,EXCLUDED,1;3,Requires counting independent research groups; no source exposes a reliable group-identity field and a regex classifier cannot disambiguate independent replication from repeated citation.,Yes,Maybe (author-affiliation clustering)
Genotype-phenotype predictability,Biological,,EXCLUDED,3,"Rubric specifies an ordinal (0/50/100) judgment; the Type B pipeline only produces binary CONFIRMED_PRESENT/NOT_CONFIRMED/UNASCERTAINED, with no ordinal grading mechanism.",Yes,Yes - best candidate for a dedicated non-regex coding pass
Therapeutic modality precedent,Biological,,EXCLUDED,4,"Requires cross-disease approval matching by modality (gene therapy, ASO, enzyme replacement, etc.); no integrated source tags approvals by modality.",Yes,No - needs a new structured source
Prospective natural-history study,Clinical,natural_history_study,IMPLEMENTED,,Exact 1:1 match.,No,No
Disease-specific patient registry,Clinical,patient_registry,IMPLEMENTED,,Exact 1:1 match. Also stands in for the Infrastructure-domain Formal patient registry item (see MERGED row below).,No,No
Validated clinical outcome measure,Clinical,validated_outcome_measure,IMPLEMENTED,,Exact 1:1 match.,No,No
Biomarker used prospectively in interventional study,Clinical,biomarker_in_trial,IMPLEMENTED,,"Match, plus a structured-evidence upgrade: force-confirmed directly from ClinicalTrials.gov outcome-measure text in addition to the Type B literature search.",No (positive deviation),No
Completed interventional trials,Clinical,completed_by_snapshot,IMPLEMENTED,,Conceptual match (Trials completed by snapshot).,No,No
Highest phase reached,Clinical,highest_phase_by_snapshot,IMPLEMENTED,,Exact 1:1 match.,No,No
Median enrollment of completed trials,Clinical,median_enrollment,IMPLEMENTED (scope differs),7,Rubric specifies of completed trials; implementation computes over all snapshot-eligible trials regardless of completion status.,Yes,Yes - narrow to completed-only or document deviation
Recruiting-site breadth,Clinical,unique_trial_sites,IMPLEMENTED (scope differs),7,"Rubric specifies active trials; implementation computes over all snapshot-eligible trials, not filtered to active/recruiting.",Yes,Yes - same as above
Currently recruiting interventional trials,Clinical,,FUTURE WORK,2,Raw value (active_trials_current) is already retrieved for the current snapshot but explicitly None for historical snapshots (cannot reconstruct reliably from current OverallStatus) - unusable for the frozen 2015-12-31 manuscript baseline.,"Yes, live site only","Yes - live/public site only, not the frozen manuscript cohort"
Multinational or multicenter registry,Clinical,,EXCLUDED,3;7,Narrower/more specific than plain registry existence (requires >=2 countries or >=3 centers); patient_registry's rule tests only generic registry-existence phrases with no scope detection.,Yes,"Maybe, if registry scope becomes a manuscript claim"
Diagnosed/recruitable patient estimate,Clinical,,EXCLUDED,4,No epidemiology/prevalence-estimate API integrated in engine.py. Same underlying gap as Economic's Patient population estimate (rubric-internal duplicate construct across two domain docs).,Yes,No - needs a new epidemiology source
Approved therapy for the same disease,Regulatory,fda_label_signal,EXCLUDED (from scoring),8,"fda_label_signal is retrieved but scoreable=False by design. Traces directly to the rubric Master Index's own non-negotiable exclusion: No current approval status may be used to predict the same historical approval outcome - approval_label_signal is one of the outcome variables derive_outcome() computes for validation, so scoring it would be predictor/outcome leakage.",Yes - strongest candidate for an explicit Methods sentence,No - this exclusion should hold; reconsidering would violate the rubric's own leakage rule
Orphan designation for a therapeutic program,Regulatory,orphan_designation_evidence,IMPLEMENTED,,Exact 1:1 match.,No,No
Expedited regulatory designation,Regulatory,expedited_designation_evidence,IMPLEMENTED,,Exact 1:1 match.,No,No
Accepted surrogate or intermediate endpoint,Regulatory,surrogate_endpoint_precedent,IMPLEMENTED,,Exact 1:1 match.,No,No
Modality precedent,Regulatory,,EXCLUDED,4,Same modality-tagging gap as Biological's Therapeutic modality precedent.,Yes,No - needs a new source
